cow_id,event_type,start,end,severity
1,heat,2026-01-02 21:25:00,2026-01-03 20:25:00,0.6573782236585209
5,heat,2026-01-01 13:45:00,2026-01-02 05:45:00,0.4205014058290675
6,heat,2026-01-02 00:15:00,2026-01-02 11:15:00,0.22863791961196678
6,heat,2026-01-02 03:30:00,2026-01-02 16:30:00,0.7647441854087584
10,heat,2026-01-02 19:10:00,2026-01-03 13:10:00,0.9074715103795604
14,illness,2026-01-01 16:00:00,2026-01-02 01:00:00,0.6180313655335146
15,illness,2026-01-03 13:10:00,2026-01-03 23:10:00,0.8414850056622402
18,heat,2026-01-02 01:35:00,2026-01-02 07:35:00,0.4061202844522758
19,illness,2026-01-01 14:00:00,2026-01-02 01:00:00,0.49727274785701797
20,heat,2026-01-01 15:10:00,2026-01-02 02:10:00,0.6325028159347295
21,heat,2026-01-03 08:25:00,2026-01-03 23:25:00,0.6536325561910632
24,heat,2026-01-01 09:40:00,2026-01-01 23:40:00,0.31423691315474434
25,heat,2026-01-03 02:50:00,2026-01-03 17:50:00,0.5960196658186829
33,heat,2026-01-03 03:30:00,2026-01-03 14:30:00,0.8465727486618019
34,illness,2026-01-01 12:55:00,2026-01-01 21:55:00,0.628233803766528
38,heat,2026-01-03 01:20:00,2026-01-03 17:20:00,0.5268566428707582
39,illness,2026-01-02 05:20:00,2026-01-02 21:20:00,0.6786459553969655
40,heat,2026-01-01 04:45:00,2026-01-01 10:45:00,0.8372285004237662
42,illness,2026-01-01 09:50:00,2026-01-01 20:50:00,0.5773292004320386
43,illness,2026-01-01 19:30:00,2026-01-02 12:30:00,0.5717194658349244
49,heat,2026-01-02 11:55:00,2026-01-03 07:55:00,0.4829242996053913
51,illness,2026-01-01 03:55:00,2026-01-01 22:55:00,0.3660779995042345
52,illness,2026-01-01 17:35:00,2026-01-02 15:35:00,0.41111542431938164
52,illness,2026-01-03 11:50:00,2026-01-03 23:50:00,0.878414184194851
58,heat,2026-01-01 02:55:00,2026-01-01 08:55:00,0.7499531107316246
65,illness,2026-01-01 02:55:00,2026-01-01 19:55:00,0.4611069516149294
66,heat,2026-01-01 22:30:00,2026-01-02 20:30:00,0.7539791962549529
66,heat,2026-01-02 17:25:00,2026-01-03 14:25:00,0.23572993161507227
67,illness,2026-01-02 07:10:00,2026-01-03 07:10:00,0.514487127081575
70,heat,2026-01-01 12:45:00,2026-01-02 08:45:00,0.46778618083857193
74,heat,2026-01-02 02:15:00,2026-01-02 13:15:00,0.5101033140460591
76,heat,2026-01-02 04:20:00,2026-01-02 22:20:00,0.714672494034589
76,heat,2026-01-02 23:05:00,2026-01-03 08:05:00,0.4854297940330682
82,illness,2026-01-01 22:50:00,2026-01-02 20:50:00,0.6556665879141008
97,heat,2026-01-01 09:10:00,2026-01-01 18:10:00,0.9684301317136528
